Business.Name,NAISC,Specific Industry,Industry
KENTUCKY CENTRAL FILL,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
CAMACO,336360,Motor Vehicle Seating and Interior Trim Manufacturing,Manufacturing
Pepsi,312111,Soft Drink Manufacturing,Food
Rapid Intermodal,488510,Freight Transportation Arrangement,Freight
Beaupre Fuels,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Energy
walls gator farm II,112519,Other Animal Production,Farming
KENTUCKY CENTRAL FILL,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
BAY SHIP YACHT,336611,Ship Building and Repairing,Manufacturing
Magnolia Foods LLC,311615,Poultry Processing,Food
KENTUCKY CENTRAL FILL,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
We Ship Express,488510,Freight Transportation Arrangement,Freight
PL Developments,325412,Pharmaceutical Preparation Manufacturing,Manufacturing
"Roaring Spring Park, LLC",713990,All Other Amusement and Recreation Industries,Entertainment
WARDLEY INDUSTRIAL INC,332710,Machine Shops,Manufacturing
Clark Auction Company,531210,Offices of Real Estate Agents and Brokers,Real Estate
FRANK BELCHER SUPPLY,423830,Industrial Machinery and Equipment Merchant Wholesalers,Wholesale
Traplines North Taxidermy Services,812990,All Other Personal Services,Services
Cargill,311615,Poultry Processing,Food
Performance Cold Storage,493120,Refrigerated Warehousing and Storage,Storage
