Business.Name,NAISC,Specific Industry,Industry
Timmons Oil Inc.,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Wholesale
Moore County Clerk,921120,Legislative Bodies,Public Services
Lamb County Elections,921120,Legislative Bodies,Public Services
Hi-Plains Cooperative Association,424510,Grain and Field Bean Merchant Wholesalers,Food
Kentucky Lottery Corporation,713290,Other Gambling Industries,Entertainment
Coke County Clerk,921120,Legislative Bodies,Public Services
Brewster County,921120,Legislative Bodies,Public Services
Parmer County Elections,921120,Legislative Bodies,Public Services
Taylor County Elections,921120,Legislative Bodies,Public Services
Cass County Elections,921120,Legislative Bodies,Public Services
Comanche County Elections,921120,Legislative Bodies,Public Services
Sabine County Elections,921120,Legislative Bodies,Public Services
Hockley County Elections,921120,Legislative Bodies,Public Services
Mywood County,921120,Legislative Bodies,Public Services
Stephens County Elections,921120,Legislative Bodies,Public Services
Gaines County Elections,921120,Legislative Bodies,Public Services
AZ Ministry Network,813110,Religious Organizations,Social Services
MSC,339113,Surgical Appliance and Supplies Manufacturing,Manufacturing
DFA Dairy Farmers of America,424520,Livestock Merchant Wholesalers,Food
Brenntag,424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale
Salem Fire Equipment,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,Wholesale
Clay County Elections,921120,Legislative Bodies,Public Services
Logiclean LLC,561720,Janitorial Services,Business Services
BNSF Railway,482111,Line-Haul Railroads,Freight
Two Notch Taxidermy,711510,"Independent Artists, Writers, and Performers",Arts
Blue Line Corporation,561990,All Other Support Services,Business Services
Fedex Ground Linehaul,492110,Couriers and Express Delivery Services,Freight
Hexion Inc.,325211,Plastics Material and Resin Manufacturing,Manufacturing
Interroll Engineering West,333922,Conveyor and Conveying Equipment Manufacturing,Manufacturing
JME Transport Corp.,484110,"General Freight Trucking, Local",Freight
American Tank Wash,488999,All Other Support Activities for Transportation,Freight
Monument Chemical,325199,All Other Basic Organic Chemical Manufacturing,Manufacturing
Enviva biomass,321999,All Other Miscellaneous Wood Product Manufacturing,Manufacturing
IP Biomass Inc,424510,Grain and Field Bean Merchant Wholesalers,Food
SPER Chemical Corporation,325199,All Other Basic Organic Chemical Manufacturing,Manufacturing
Town of Easton,921110,Executive Offices,Public Services
Country Life LLC,311511,Fluid Milk Manufacturing,Food
Weird Beverages,312111,Soft Drink Manufacturing,Food
Torrance Storage Company,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",Freight
On Track Trucking Inc,484110,"General Freight Trucking, Local",Freight
Brandeis University,611310,"Colleges, Universities, and Professional Schools",Education
Comcast,517311,Wired Telecommunications Carriers,Telecommunications
Willis Police Department,922120,Police Protection,Public Services
"Florida Purchasing Agency, Inc.",541612,Human Resources Consulting Services,Consulting
Itos Truck Wash,811192,Car Washes,Retail
NVE,334516,Analytical Laboratory Instrument Manufacturing,Manufacturing
Ripley Industries Inc.,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",Manufacturing
Medford Ambulance,621910,Ambulance Services,Healthcare
Keystone Water Company,221310,Water Supply and Irrigation Systems,Utilities
COSCO Fire Protection,561621,Security Systems Services (except Locksmiths),Security Services
"Delta Treatment Systems, LLC",333318,Other Commercial and Service Industry Machinery Manufacturing,Manufacturing
Vane Brothers,488310,Port and Harbor Operations,Freight
D&D Ingredients LLC,311119,Other Animal Food Manufacturing,Food
Santa Margarita Water District,221310,Water Supply and Irrigation Systems,Utilities
Odyssey Polymers,325199,All Other Basic Organic Chemical Manufacturing,Manufacturing
Kerotest Manufacturing,332911,Industrial Valve Manufacturing,Manufacturing
Zulu 24 Inc.,541512,Computer Systems Design Services,IT
HIGH DESERT MILK,311511,Fluid Milk Manufacturing,Food
Princess Cargo Corp,488510,Freight Transportation Arrangement,Freight
PSC,488999,All Other Support Activities for Transportation,Freight
C & M Rucks Dairy inc.,112120,Dairy Cattle and Milk Production,Food
OrthoMetals Americas LLC,334516,Analytical Laboratory Instrument Manufacturing,Manufacturing
ON TRACK TRUCKING INC,484110,"General Freight Trucking, Local",Freight
Gemsa Enterprises,424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale
ASAK,541512,Computer Systems Design Services,IT
AmeriGas,454310,Fuel Dealers,Energy
Townsend Grain Co.,424510,Grain and Field Bean Merchant Wholesalers,Food
Monument Chemical Kentucky,325199,All Other Basic Organic Chemical Manufacturing,Manufacturing
"Quality Transport, Inc.",484110,"General Freight Trucking, Local",Freight
City of Bloomfield,921110,Executive Offices,Public Services
Core Civic,922140,Correctional Institutions,Public Services
Cardinal Health,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
BNSF Railway,482111,Line-Haul Railroads,Freight
Country Life LLC,311511,Fluid Milk Manufacturing,Food
Fedex Ground,492110,Couriers and Express Delivery Services,Freight
Alfred H Knight North America Ltd.,541380,Testing Laboratories,Professional Services
Bear Mountain Beast,424520,Livestock Merchant Wholesalers,Food
"Sprague's Supply, Inc./DBA NAPA Auto Parts",441310,Automotive Parts and Accessories Stores,Retail
Valley Pacific Petroleum,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Wholesale
Laird and Company,312130,Wineries,Food
CM Biomass,424510,Grain and Field Bean Merchant Wholesalers,Food
